date,state,fips,cases,deaths
6/6/22,Alabama,1,1320708,19676
6/6/22,Alaska,2,261117,1246
6/6/22,American Samoa,60,6053,31
6/6/22,Arizona,4,2062669,30332
6/6/22,Arkansas,5,846119,11505
6/6/22,California,6,9675504,91681
6/6/22,Colorado,8,1467039,12773
6/6/22,Connecticut,9,813676,10971
6/6/22,Delaware,10,278609,2961
6/6/22,District of Columbia,11,151005,1346
6/6/22,Florida,12,6223573,74715
6/6/22,Georgia,13,2499718,36758
6/6/22,Guam,66,50442,366
6/6/22,Hawaii,15,275631,1454
6/6/22,Idaho,16,453661,4945
6/6/22,Illinois,17,3338626,38222
6/6/22,Indiana,18,1742261,23740
6/6/22,Iowa,19,781963,9603
6/6/22,Kansas,20,789963,8963
6/6/22,Kentucky,21,1377324,16004
6/6/22,Louisiana,22,1267633,17345
6/6/22,Maine,23,264366,2382
6/6/22,Maryland,24,1098538,14634
6/6/22,Massachusetts,25,1885034,20670
6/6/22,Michigan,26,2547366,36407
6/6/22,Minnesota,27,1518186,12984
6/6/22,Mississippi,28,811833,12471
6/6/22,Missouri,29,1480735,20796
6/6/22,Montana,30,279470,3423
6/6/22,Nebraska,31,488110,4294
6/6/22,Nevada,32,744192,10909
6/6/22,New Hampshire,33,327358,2547
6/6/22,New Jersey,34,2417401,33775
6/6/22,New Mexico,35,540931,7846
6/6/22,New York,36,5466857,68489
6/6/22,North Carolina,37,2774905,24663
6/6/22,North Dakota,38,245476,2330
6/6/22,Northern Mariana Islands,69,11403,34
6/6/22,Ohio,39,2780653,38657
6/6/22,Oklahoma,40,1053558,14437
6/6/22,Oregon,41,774426,7659
6/6/22,Pennsylvania,42,2941231,45308
6/6/22,Puerto Rico,72,728375,4400
6/6/22,Rhode Island,44,395410,3583
6/6/22,South Carolina,45,1504967,17907
6/6/22,South Dakota,46,240357,2928
6/6/22,Tennessee,47,2020366,26221
6/6/22,Texas,48,6906459,88602
6/6/22,Utah,49,954938,4781
6/6/22,Vermont,50,132676,670
6/6/22,Virgin Islands,78,20229,114
6/6/22,Virginia,51,1805781,20431
6/6/22,Washington,53,1604010,13031
6/6/22,West Virginia,54,519762,6977
6/6/22,Wisconsin,55,1688016,14656
6/6/22,Wyoming,56,158472,1820
