State,Cases1,Deaths1,Rate1,Cases2,Deaths2,Rate2,Vaccination2,Cases3,Deaths3,Rate3,Vaccination3,Government,PopDensity,Margin,Population,PopDensityQuartile
Alabama,297895,4102,0.024813082,547873,11274,0.079295535,30.59,854229,16285,0.055402946,46.96,Republican trifecta,99.2,-0.255,5024803,2nd
Alaska,41363,169,0.007013231,70132,356,0.014183926,41.07,152826,863,0.038455885,55.59,Divided government,1.3,-0.101,732441,1st
Arizona,420459,7358,0.031157405,887146,17768,0.080570418,37.99,1320748,23243,0.042374932,56.02,Republican trifecta,62.9,0.003,7177986,2nd
Arkansas,187057,2990,0.030170803,344067,5863,0.052987655,32.58,539483,8880,0.055643493,50.43,Republican trifecta,57.9,-0.276,3012232,2nd
California,1620916,21196,0.016310369,3803495,63150,0.059007424,46.61,5179298,75637,0.017562704,,Democratic trifecta,253.7,0.292,39499738,4th
Colorado,291645,4015,0.021097852,554283,6833,0.027065564,48.25,865118,9930,0.029745227,65.09,Democratic trifecta,55.7,0.135,5784308,2nd
Connecticut,153992,5444,0.045960882,348465,8263,0.043499945,57.15,450315,9000,0.011372635,73.7,Democratic trifecta,744.7,0.201,3600260,4th
Delaware,46457,816,0.025005325,109379,1679,0.048336648,46.28,161650,2225,0.030581471,62.81,Democratic trifecta,508,0.19,991886,4th
Florida,1134375,20002,0.028185695,2304918,37330,0.044630028,42.44,3720146,62073,0.063728115,62.52,Republican trifecta,401.4,-0.034,21569932,4th
Georgia,527157,9803,0.027780075,1104417,20481,0.05530797,33.86,1649689,29755,0.048035785,50.1,Republican trifecta,185.6,0.002,10725800,3rd
Hawaii,19489,272,0.005694204,35769,503,0.008838926,49.5,86579,1055,0.021121588,62.48,Democratic trifecta,226.6,0.295,1451911,4th
Idaho,122679,1199,0.019723088,193821,2119,0.02766094,34.53,312618,4051,0.058087975,45.8,Republican trifecta,22.3,-0.308,1847772,1st
Illinois,857860,15458,0.036749239,1391785,25490,0.043591917,42.89,1916535,29985,0.019532064,,Democratic trifecta,230.8,0.17,12785245,4th
Indiana,433242,6840,0.030638615,752871,13746,0.056540937,38,1169937,18176,0.036269382,51.46,Republican trifecta,189.4,-0.161,6785644,3rd
Iowa,256902,3269,0.031160871,372649,6102,0.049358804,45.94,549642,7550,0.02522822,58.12,Republican trifecta,57.1,-0.082,3188669,2nd
Kansas,193109,2109,0.021834456,317613,5158,0.057696121,39.98,490333,6902,0.033001652,55.96,Divided government,35.9,-0.147,2935880,1st
